#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
98,North Macedonia,"344,146",,"9,564 ",,"334,335",,247,,"165,351","4,595","2,141,032","1,028,697","2,081,304 ",Europe,62181,,,119,
99,Kenya,"339,788",,"5,678 ",,"333,358",,752,1,"6,044",101,"3,924,756","69,817","56,215,221 ",Africa,"1659,90114",,,13,
100,Zambia,"333,685",,"4,017 ",,"329,652",,16,,"17,138",206,"3,750,980","192,652","19,470,234 ",Africa,"584,8475",,,0.8,
101,Albania,"333,058",,"3,592 ",,"327,871",,"1,595",,"116,195","1,253","1,941,032","677,173","2,866,374 ",Europe,97981,,,556,
102,Botswana,"326,344",,"2,790 ",,"322,955",,599,1,"133,684","1,143","2,026,898","830,300","2,441,162 ",Africa,78751,,,245,
103,Luxembourg,"297,757",,"1,133 ",,"288,991",,"7,633",,"463,528","1,764","4,412,567","6,869,188","642,371 ",Europe,25670,,,"11,883",
104,Montenegro,"283,117",,"2,787 ",,"279,920",,410,6,"450,859","4,438","2,651,778","4,222,913","627,950 ",Europe,22250,,,653,
105,Algeria,"270,881",,"6,881 ",,"182,447",,"81,553",,"5,973",152,"230,861","5,091","45,350,148 ",Africa,"1676,591196",,,"1,798",
106,Nigeria,"266,192",,"3,155 ",,"259,532",,"3,505",11,"1,228",15,"5,441,162","25,104","216,746,934 ",Africa,"81468,70040",,,16,
107,Zimbabwe,"257,893",,"5,606 ",,"251,904",,383,12,"16,821",366,"2,525,756","164,744","15,331,428 ",Africa,"592,7356",,,25,
108,Uzbekistan,"244,827",,"1,637 ",,"241,486",,"1,704",23,"7,121",48,"1,377,915","40,077","34,382,084 ",Asia,"14021,00325",,,50,
109,Brunei ,"241,044",,225 ,,"222,140",,"18,679",3,"541,148",505,"717,784","1,611,437","445,431 ",Asia,"21,9801",,,"41,935",
110,Mozambique,"230,475",,"2,224 ",,"228,176",,75,11,"6,965",67,"1,371,127","41,437","33,089,461 ",Africa,"14414,87824",,,2,
111,Martinique,"223,728",,"1,047 ",,N/A,N/A,N/A,8,"598,064","2,799","828,928","2,215,870","374,087 ",North America,23570,,,"594,987",
112,Laos,"216,295",+9,758 ,,N/A,N/A,N/A,,"28,912",101,"1,233,207","164,845","7,481,023 ",Asia,"359,8696",1,,"27,787",
113,Iceland,"206,571",,219 ,,N/A,N/A,N/A,2,"598,075",634,"1,996,384","5,780,036","345,393 ",Europe,"21,5770",,,"378,314",
114,Kyrgyzstan,"206,464",,"2,991 ",,"196,406",,"7,067",131,"30,686",445,"1,907,195","283,460","6,728,271 ",Asia,"332,2504",,,"1,050",
115,Afghanistan,"203,942",+49,"7,829 ",+1,"181,093",+26,"15,020","1,124","5,004",192,"1,140,999","27,997","40,754,388 ",Asia,"2005,20636",1,0.02,369,
116,El Salvador,"201,785",,"4,230 ",,"179,410",,"18,145",8,"30,805",646,"2,610,114","398,467","6,550,389 ",North America,"321,5493",,,"2,770",
117,Guadeloupe,"196,270",,993 ,,N/A,N/A,N/A,19,"490,928","2,484","938,039","2,346,306","399,794 ",North America,24030,,,"482,816",
118,Maldives,"185,454",,309 ,,"163,687",,"21,458",25,"342,808",571,"2,213,831","4,092,223","540,985 ",Asia,"31,7510",,,"39,665",
119,Trinidad and Tobago,"184,854",,"4,255 ",,"180,224",,375,8,"131,420","3,025","856,673","609,045","1,406,585 ",North America,83312,,,267,
120,Ghana,"170,894",,"1,460 ",,"169,218",,216,2,"5,275",45,"2,518,296","77,736","32,395,450 ",Africa,"19022,18913",,,7,
121,Namibia,"169,946",,"4,080 ",,"165,826",,40,,"64,523","1,549","1,062,663","403,460","2,633,874 ",Africa,156462,,,15,
122,Uganda,"169,473",,"3,630 ",,"100,431",,"65,412",3,"3,499",75,"3,012,408","62,198","48,432,863 ",Africa,"28613,34216",,,"1,351",
123,Jamaica,"151,931",,"3,320 ",,"99,392",,"49,219",,"50,897","1,112","1,183,986","396,633","2,985,094 ",North America,208993,,,"16,488",
124,Cambodia,"137,996",,"3,056 ",,"134,934",,6,,"8,038",178,"3,091,420","180,062","17,168,639 ",Asia,"1245,6186",,,0.3,
125,Rwanda,"132,584",,"1,467 ",,"131,061",,56,,"9,748",108,"5,841,019","429,472","13,600,464 ",Africa,"1039,2712",,,4,
126,Cameroon,"123,993",,"1,965 ",,"118,616",,"3,412",13,"4,442",70,"1,751,774","62,762","27,911,548 ",Africa,"22514,20416",,,122,
127,Malta,"115,512",+23,808 ,,"114,014",+22,690,4,"260,143","1,820","2,081,348","4,687,372","444,033 ",Europe,45500,52,,"1,554",
128,Angola,"103,131",,"1,917 ",,"101,155",,59,,"2,944",55,"1,499,795","42,818","35,027,343 ",Africa,"34018,27223",,,2,
129,Barbados,"103,014",,560 ,,"102,024",,430,,"357,659","1,944","770,100","2,673,745","288,023 ",North America,35140,,,"1,493",
130,Channel Islands,"94,480",,205 ,,"93,703",,572,,"535,410","1,162","1,252,808","7,099,551","176,463 ",Europe,28610,,,"3,241",
131,French Guiana,"94,259",,411  ,,"11,254",,"82,594",2,"300,026","1,308","651,257","2,072,951","314,169 ",South America,37640,,,"262,897",
132,DRC,"93,219",,"1,445 ",,"83,560",,"8,214",,979,15,"846,704","8,890","95,240,792 ",Africa,"1,02265,911112",,,86,
